"";"nomHotel";"notapersona";"data";"estrelles";"notaHotel";"TipusHabitacio";"DuradaEstancia";"Nits";"ProcedenciaComentari";"TipusViatge";"Acompanyament";"ViajaConMascota";"Season";"recomanar"
"1";"Hostal Balkonis";8,3;2019-03-30;"2";8,8;"Altres";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Grupo";"N";"PRIMER TRIMESTRE";1
"2";"Hostal Balkonis";10;2019-01-16;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"3";"Hostal Balkonis";10;2019-01-13;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Grupo";"N";"PRIMER TRIMESTRE";0
"4";"Hostal Balkonis";10;2018-12-20;"2";8,8;"Habitacio Doble";"De 6 a 7 Nits";7;"EnviadoporWeb";"SenseInformar";"Personaqueviajasola";"N";"QUART TRIMESTRE";0
"5";"Hostal Balkonis";10;2018-12-16;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";0
"6";"Hostal Balkonis";7,9;2018-12-08;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";1
"7";"Hostal Balkonis";10;2018-12-01;"2";8,8;"Altres";"Una Nit";1;"Enviadopormóvil";"Viajedenegocios";"Personaqueviajasola";"N";"QUART TRIMESTRE";0
"8";"Hostal Balkonis";10;2018-11-21;"2";8,8;"Habitacio Triple";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Grupodeamigos";"N";"QUART TRIMESTRE";0
"9";"Hostal Balkonis";6,7;2018-10-29;"2";8,8;"Habitacio Doble";"Estanciade6noches";6;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";1
"10";"Hostal Balkonis";7,1;2018-10-24;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Personaqueviajasola";"N";"QUART TRIMESTRE";1
"11";"Hostal Balkonis";6,3;2018-10-23;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";1
